## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/bam/sorted.bam --OUTPUT results/bam/dedup.bam --METRICS_FILE results/tables/dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Sep 01 20:09:03 UTC 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	266736	0	0	0	142	0	0.000532	250432536

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	266452	266452
2.0	1.998935	142	142
3.0	2.996808	0	0
4.0	3.993617	0	0
5.0	4.989366	0	0
6.0	5.984055	0	0
7.0	6.977684	0	0
8.0	7.970256	0	0
9.0	8.961772	0	0
10.0	9.952232	0	0
11.0	10.941637	0	0
12.0	11.929989	0	0
13.0	12.91729	0	0
14.0	13.903539	0	0
15.0	14.888738	0	0
16.0	15.872888	0	0
17.0	16.855991	0	0
18.0	17.838047	0	0
19.0	18.819058	0	0
20.0	19.799025	0	0
21.0	20.777948	0	0
22.0	21.755829	0	0
23.0	22.732669	0	0
24.0	23.708469	0	0
25.0	24.683231	0	0
26.0	25.656955	0	0
27.0	26.629642	0	0
28.0	27.601294	0	0
29.0	28.571911	0	0
30.0	29.541496	0	0
31.0	30.510048	0	0
32.0	31.477569	0	0
33.0	32.44406	0	0
34.0	33.409522	0	0
35.0	34.373956	0	0
36.0	35.337364	0	0
37.0	36.299746	0	0
38.0	37.261104	0	0
39.0	38.221438	0	0
40.0	39.18075	0	0
41.0	40.139041	0	0
42.0	41.096312	0	0
43.0	42.052563	0	0
44.0	43.007797	0	0
45.0	43.962014	0	0
46.0	44.915214	0	0
47.0	45.867401	0	0
48.0	46.818573	0	0
49.0	47.768733	0	0
50.0	48.717882	0	0
51.0	49.66602	0	0
52.0	50.613149	0	0
53.0	51.559269	0	0
54.0	52.504383	0	0
55.0	53.44849	0	0
56.0	54.391592	0	0
57.0	55.333691	0	0
58.0	56.274786	0	0
59.0	57.21488	0	0
60.0	58.153972	0	0
61.0	59.092065	0	0
62.0	60.02916	0	0
63.0	60.965257	0	0
64.0	61.900357	0	0
65.0	62.834462	0	0
66.0	63.767573	0	0
67.0	64.69969	0	0
68.0	65.630815	0	0
69.0	66.560949	0	0
70.0	67.490092	0	0
71.0	68.418247	0	0
72.0	69.345413	0	0
73.0	70.271593	0	0
74.0	71.196786	0	0
75.0	72.120995	0	0
76.0	73.04422	0	0
77.0	73.966461	0	0
78.0	74.887722	0	0
79.0	75.808001	0	0
80.0	76.727301	0	0
81.0	77.645622	0	0
82.0	78.562966	0	0
83.0	79.479333	0	0
84.0	80.394724	0	0
85.0	81.309141	0	0
86.0	82.222585	0	0
87.0	83.135056	0	0
88.0	84.046556	0	0
89.0	84.957086	0	0
90.0	85.866646	0	0
91.0	86.775238	0	0
92.0	87.682863	0	0
93.0	88.589521	0	0
94.0	89.495215	0	0
95.0	90.399944	0	0
96.0	91.30371	0	0
97.0	92.206514	0	0
98.0	93.108357	0	0
99.0	94.00924	0	0
100.0	94.909164	0	0

